ID Next,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
FT_004679,5901698716288,M00448,https://www.foto24.com/quadralite-stroboss-60evo-nikon-flash.html,https://www.photo24.fr/quadralite-stroboss-60evo-nikon-flash.html,194.99,Quadralite
FT_004680,5901698716295,M00439,https://www.foto24.com/quadralite-stroboss-60evo-sony-flash.html,https://www.photo24.fr/quadralite-stroboss-60evo-sony-flash.html,194.99,Quadralite
FT_005275,5901698718183,M00206,https://www.foto24.com/quadralite-stroboss-v1-canon-flash.html,https://www.photo24.fr/quadralite-stroboss-v1-canon-flash.html,269.99,Quadralite
FT_005278,5901698718213,M00207,https://www.foto24.com/quadralite-stroboss-v1-fujifilm-flash.html,https://www.photo24.fr/quadralite-stroboss-v1-fujifilm-flash.html,269.99,Quadralite
FT_005477,5901698718473,M00234,https://www.foto24.com/quadralite-stroboss-v1-olympus-panasonic-flash.html,https://www.photo24.fr/quadralite-stroboss-v1-olympus-panasonic-flash.html,269.99,Quadralite
FT_005276,5901698718190,M00208,https://www.foto24.com/quadralite-stroboss-v1-nikon-flash.html,https://www.photo24.fr/quadralite-stroboss-v1-nikon-flash.html,269.99,Quadralite
FT_005277,5901698718206,M00205,https://www.foto24.com/quadralite-stroboss-v1-sony-flash.html,https://www.photo24.fr/quadralite-stroboss-v1-sony-flash.html,269.99,Quadralite
FT_005875,5901698719500,M00518,https://www.foto24.com/quadralite-svl-400-plus-antorcha-led.html,https://www.photo24.fr/quadralite-svl-400-plus-torche-led.html,144.99,Quadralite
FT_005691,5901698718848,M00404,https://www.foto24.com/quadralite-talia-400-panel-led.html,https://www.photo24.fr/quadralite-talia-400-panneau-led.html,71.99,Quadralite
FT_004461,5901698714628,C00011,https://www.foto24.com/antorcha-led-quadralite-thea-120.html,https://www.photo24.fr/quadralite-thea-120-torche-led.html,34.99,Quadralite
FT_005666,5901698718770,M00319,https://www.foto24.com/antorcha-led-quadralite-thea-150.html,https://www.photo24.fr/torche-led-quadralite-thea-150.html,47.99,Quadralite
FT_005667,5901698718787,M00320,https://www.foto24.com/antorcha-led-quadralite-thea-160.html,https://www.photo24.fr/torche-led-quadralite-thea-160.html,34.99,Quadralite
FT_004580,5901698716073,C00012,https://www.foto24.com/antorcha-led-quadralite-thea-170.html,https://www.photo24.fr/quadralite-thea-170-torche-led.html,74.99,Quadralite
FT_004462,5901698714635,C00013,https://www.foto24.com/antorcha-led-quadralite-thea-260.html,https://www.photo24.fr/quadralite-thea-260-torche-led.html,104.99,Quadralite
FT_005856,5901698719364,M01335,https://www.foto24.com/antorcha-led-quadralite-thea-300-rgb-pro.html,https://www.photo24.fr/torche-led-quadralite-thea-300-rgb-pro.html,224.99,Quadralite
FT_004581,5901698716080,C00014,https://www.foto24.com/antorcha-led-quadralite-thea-308.html,https://www.photo24.fr/quadralite-thea-308-torche-led.html,119.99,Quadralite
FT_005668,5901698718794,M00321,https://www.foto24.com/antorcha-led-quadralite-thea-450.html,https://www.photo24.fr/torche-led-quadralite-thea-450.html,94.99,Quadralite
FT_005669,5901698718800,M00323,https://www.foto24.com/kit-antorchas-led-quadralite-thea-450.html,https://www.photo24.fr/kit-torches-led-quadralite-thea-450.html,232.99,Quadralite
FT_004582,5901698716097,C00015,https://www.foto24.com/antorcha-led-quadralite-thea-500.html,https://www.photo24.fr/quadralite-thea-500-torche-led.html,189.99,Quadralite
FT_005671,5901698718824,M00325,https://www.foto24.com/bolsa-quadralite-thea-led.html,https://www.photo24.fr/sac-quadralite-thea-led.html,24.99,Quadralite
FT_004573,5901698714864,M00326,https://www.foto24.com/adaptador-quadralite-thea-led-para-baterias-panasonic-vbg6.html,https://www.photo24.fr/adaptateur-quadralite-thea-led-pour-batteries-panasonic-vbg6.html,9.99,Quadralite
FT_005708,5901698719098,M00327,https://www.foto24.com/antorcha-led-quadralite-thea-rgb-150.html,https://www.photo24.fr/torche-led-quadralite-thea-rgb-150.html,69.99,Quadralite
FT_004388,5901698711580,M00821,https://www.foto24.com/quadralite-paraguas-transparente-blanco-120cm.html,https://www.photo24.fr/quadralite-parapluie-transparent-blanc-120cm.html,20.99,Quadralite
