ID Next,Nombre,EAN,SKU,URL Foto24,URL Photo24,Precio F24,Marca
FT_004224,Genesis Base C3 Tripod Orange,5901698714277,0713623244,https://www.foto24.com/tripode-genesis-base-c3-naranja.html,https://www.photo24.fr/trepied-genesis-base-c3-orange.html,164.99,Genesis
FT_004221,Genesis Base C5 + BH-40 Kit Blue,5901698714284,0713623245,https://www.foto24.com/tripode-genesis-base-c5-cabezal-bh-40-azul.html,https://www.photo24.fr/trepied-genesis-base-c5-rotule-bh-40-bleu.html,239.99,Genesis
FT_004222,Genesis Base C5 + BH-40 Kit Orange,5901698714291,0713623246,https://www.foto24.com/tripode-genesis-base-c5-cabezal-bh-40-naranja.html,https://www.photo24.fr/trepied-genesis-base-c5-rotule-bh-40-orange.html,199.99,Genesis
FT_004225,Genesis Base C5 Tripod Blue,5901698714307,0713623247,https://www.foto24.com/tripode-genesis-base-c5-azul.html,https://www.photo24.fr/trepied-genesis-base-c5-bleu.html,189.99,Genesis
FT_004227,Genesis Base C5 Tripod Green,5901698714369,0713623248,https://www.foto24.com/tripode-genesis-base-c5-verde.html,https://www.photo24.fr/trepied-genesis-base-c5-vert.html,189.99,Genesis
FT_004228,Genesis Base C5 Tripod Grey,5901698714352,0713623249,https://www.foto24.com/tripode-genesis-base-c5-gris.html,https://www.photo24.fr/trepied-genesis-base-c5-gris.html,189.99,Genesis
FT_004226,Genesis Base C5 Tripod Orange,5901698714314,0713623250,https://www.foto24.com/tripode-genesis-base-c5-naranja.html,https://www.photo24.fr/trepied-genesis-base-c5-orange.html,189.99,Genesis
FT_004074,Genesis Base CL-20HS Quick-Release Clamp,5901698710729,0713623251,https://www.foto24.com/plato-de-liberacion-rapida-genesis-cl-20hs.html,https://www.photo24.fr/plateau-rapide-genesis-cl-20hs.html,22.99,Genesis
FT_004075,Genesis Base CL-55P Quick-Release Clamp,5901698710736,0713623252,https://www.foto24.com/plato-de-liberacion-doble-genesis-cl-55p.html,https://www.photo24.fr/plateau-rapide-double-genesis-cl-55p.html,25.99,Genesis
FT_004092,Genesis Base Claws Foot,5901698710903,0713623253,https://www.foto24.com/puntas-de-acero-genesis.html,https://www.photo24.fr/pointes-en-acier-genesis.html,44.99,Genesis
FT_004073,Genesis Base CLD-50 Double Quick-Release Clamp,5901698710712,0713623254,https://www.foto24.com/plato-de-liberacion-rapida-doble-genesis-base-cld-50.html,https://www.photo24.fr/plateau-rapide-double-genesis-base-cld-50.html,33.99,Genesis
FT_004250,Genesis Base CVT-20 + VF-7.5 Video Kit,5901698711863,0713623255,https://www.foto24.com/tripode-genesis-base-cvt-20-cabezal-vf-7-5.html,https://www.photo24.fr/trepied-genesis-base-cvt-20-tete-vf-7-5.html,244.99,Genesis
FT_004237,Genesis Base DC-38 Clamp,5901698714116,0713623256,https://www.foto24.com/plato-de-liberacion-rapida-doble-genesis-dc-38.html,https://www.photo24.fr/plateau-de-liberation-double-genesis-dc-38.html,38.99,Genesis
FT_004235,Genesis Base DDC-55 Double Clamp,5901698714345,0713623257,https://www.foto24.com/cabezal-genesis-base-ddc-55-doble-pinza.html,https://www.photo24.fr/support-genesis-base-ddc-55-double-pince.html,44.99,Genesis
FT_004236,Genesis Base DDC-60 Double Clamp,5901698714093,0713623258,https://www.foto24.com/plato-de-liberacion-rapida-doble-genesis-ddc-60.html,https://www.photo24.fr/plateau-rapide-double-genesis-ddc-60.html,49.99,Genesis
FT_004070,Genesis Base IR-55QR Panoramic Rotator,5901698710682,0713623259,https://www.foto24.com/cabezal-panoramico-genesis-ir-55qr.html,https://www.photo24.fr/tete-panoramique-genesis-ir-55qr.html,69.99,Genesis
FT_004071,Genesis Base IR-64 Panoramic Rotator,5901698710699,0713623260,https://www.foto24.com/cabezal-panoramico-genesis-ir-64.html,https://www.photo24.fr/rotule-panoramique-genesis-ir-64.html,54.99,Genesis
FT_004089,Genesis Base LB-66 Leveling Base,5901698710873,0713623261,https://www.foto24.com/nivelador-genesis-base-lb-66.html,https://www.photo24.fr/niveleur-genesis-base-lb-66.html,69.99,Genesis
FT_004247,Genesis Base LPH-25 Low Profile Ball Head,5901698714123,0713623262,https://www.foto24.com/rotula-genesis-lph-25-perfil-bajo.html,https://www.photo24.fr/rotule-genesis-lph-25-profil-bas.html,58.99,Genesis
FT_004246,Genesis Base LPH-30 Low Profile Ball Head,5901698714338,0713623263,https://www.foto24.com/rotula-genesis-lph-30-perfil-bajo.html,https://www.photo24.fr/rotule-genesis-lph-30-profil-bas.html,79.99,Genesis
FT_004245,Genesis Base LPH-55 Low Profile Ball Head,5901698714130,0713623264,https://www.foto24.com/rotula-genesis-lph-55-perfil-bajo-azul.html,https://www.photo24.fr/rotule-genesis-lph-55-profil-bas-bleu.html,204.99,Genesis
